reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
78,80,162,0,0,0,6,0.04969429993070662,,0.00685499981045723,0.04969429993070662,1.0019582998938859,1.0019582998938859,1.0519284999463707,2.958115299930796,l,1.9354926000814885,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
40,55,62,0,1,1,3,2.9681235998868942,,2.959206599975005,2.9681235998868942,3.968455399852246,3.968455399852246,3.968455399852246,4.603172399802133,l,0.6258465999271721,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
49,60,89,0,2,2,4,4.618082999950275,,4.604041500017047,4.618082999950275,5.618230999913067,5.618230999913067,5.618230999913067,6.003652699990198,t,0.38172280020080507,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
67,75,119,0,3,3,5,6.017868899973109,,6.004745899932459,6.017868899973109,7.018243699800223,7.018243699800223,7.018243699800223,7.336835299851373,l,0.30072280019521713,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
15,35,13,0,4,4,1,7.350873199990019,,7.337861699983478,7.350873199990019,8.350860999897122,8.350860999897122,8.350860999897122,8.636757500004023,t,0.2831729000899941,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
11,30,7,0,5,5,0,8.650866899872199,,8.637664799811319,8.650866899872199,9.650740299839526,9.650740299839526,9.650740299839526,9.952668699901551,t,0.28742729988880455,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
27,50,21,0,6,6,2,9.967335999943316,,9.95368259982206,9.967335999943316,10.967473999829963,10.967473999829963,10.967473999829963,11.218428699998185,l,0.24619219987653196,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
15,35,13,1,0,7,1,11.233994199894369,,11.219243899919093,11.233994199894369,12.233831799821928,12.233831799821928,12.233831799821928,12.552370099816471,t,0.30202169995754957,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
67,75,119,1,1,8,5,12.56704349978827,,12.553488299949095,12.56704349978827,13.567135599907488,13.567135599907488,13.567135599907488,13.918064599856734,t,0.3467300001066178,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
27,50,21,1,2,9,2,13.933539799880236,,13.918850400019437,13.933539799880236,14.9336857998278,14.9336857998278,14.9336857998278,15.251880299998447,t,0.30451579997316003,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
11,30,7,1,3,10,0,15.266720299841836,,15.253540099831298,15.266720299841836,16.26689389999956,16.26689389999956,16.26689389999956,16.58523550000973,l,0.303079399978742,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
49,60,89,1,4,11,4,16.599723999854177,,16.58629669994116,16.599723999854177,17.599857799941674,17.599857799941674,17.599857799941674,17.83491859980859,l,0.23098929994739592,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
40,55,62,1,5,12,3,17.849666299996898,,17.835833999793977,17.849666299996898,18.849610099801794,18.849610099801794,18.849610099801794,19.268491399940103,t,0.401431999867782,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
78,80,162,1,6,13,6,19.28280989988707,,19.26950619998388,19.28280989988707,20.282903699902818,20.282903699902818,20.282903699902818,20.335462999995798,l,0.05024589993990958,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
15,35,13,2,0,14,1,20.34920349996537,,20.336362899979576,20.34920349996537,21.349591800011694,21.349591800011694,21.349591800011694,21.717580299824476,l,0.35992919979617,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
40,55,62,2,1,15,3,21.732451299903914,,21.718636899953708,21.732451299903914,22.7326163998805,22.7326163998805,22.7326163998805,23.31706379982643,l,0.5788616999052465,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
78,80,162,2,2,16,6,23.33235519984737,,23.31852989993058,23.33235519984737,24.33237660001032,24.33237660001032,24.33237660001032,24.76860939990729,l,0.43306090007536113,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
11,30,7,2,3,17,0,24.782046699896455,,24.76943749981001,24.782046699896455,25.781804399797693,25.781804399797693,25.781804399797693,26.06745869992301,t,0.27075450005941093,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
27,50,21,2,4,18,2,26.081873499788344,,26.068961199838668,26.081873499788344,27.082043999806046,27.082043999806046,27.082043999806046,27.3499839999713,l,0.25452150008641183,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
49,60,89,2,5,19,4,27.36517499992624,,27.350955199915916,27.36517499992624,28.365159299923107,28.365159299923107,28.365159299923107,28.734512199880555,t,0.36611469998024404,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
67,75,119,2,6,20,5,28.748080799821764,,28.73555799992755,28.748080799821764,29.748263199813664,29.748263199813664,29.748263199813664,29.816638299962506,l,0.05267690005712211,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
67,75,119,3,0,21,5,29.831602199934423,,29.81766860000789,29.831602199934423,30.831524199806154,30.831524199806154,30.831524199806154,31.133057599887252,l,0.2901002001017332,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
40,55,62,3,1,22,3,31.14778200001456,,31.133916499791667,31.14778200001456,32.14798199990764,32.14798199990764,32.14798199990764,32.41816859995015,t,0.2671890000347048,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
78,80,162,3,2,23,6,32.43109479988925,,32.419406099943444,32.43109479988925,33.431190099800006,33.431190099800006,33.431190099800006,33.81588629982434,t,0.3766238000243902,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
15,35,13,3,3,24,1,33.830869499826804,,33.816819899948314,33.830869499826804,34.83102929987945,34.83102929987945,34.83102929987945,34.9994105999358,l,0.15187270008027554,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
11,30,7,3,4,25,0,35.01410479983315,,35.00058679981157,35.01410479983315,36.01424799999222,36.01424799999222,36.01424799999222,36.281088499818,t,0.26042750012129545,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
27,50,21,3,5,26,2,36.29707819991745,,36.28154559992254,36.29707819991745,37.28073549992405,37.28073549992405,37.29722509998828,37.61575559992343,t,0.3296532998792827,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
49,60,89,3,6,27,4,37.630429399898276,,37.61672890000045,37.630429399898276,38.63042649999261,38.63042649999261,38.63042649999261,38.70035649999045,l,0.06737449998036027,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
11,30,7,4,0,28,0,38.713653299957514,,38.701354099903256,38.713653299957514,39.713605699827895,39.713605699827895,39.713605699827895,40.61559289996512,t,0.8963854999747127,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
27,50,21,4,1,29,2,40.63002189993858,,40.61663189996034,40.63002189993858,41.62998489988968,41.62998489988968,41.62998489988968,41.915305599803105,l,0.2825281999539584,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
67,75,119,4,2,30,5,41.929795200005174,,41.91623889980838,41.929795200005174,42.929902399890125,42.929902399890125,42.929902399890125,42.98186659999192,l,0.04892069986090064,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
78,80,162,4,3,31,6,42.99629749986343,,42.98278600000776,42.99629749986343,43.99622689979151,43.99622689979151,43.99622689979151,44.36428270000033,l,0.3637967000249773,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
15,35,13,4,4,32,1,44.37965159979649,,44.36511469981633,44.37965159979649,45.37966649979353,45.37966649979353,45.37966649979353,45.64712330000475,t,0.25119960005395114,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
49,60,89,4,5,33,4,45.66266689985059,,45.6477357998956,45.66266689985059,46.66292309993878,46.66292309993878,46.66292309993878,46.9809229997918,l,0.31242390000261366,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
40,55,62,4,6,34,3,46.995753899915144,,46.981919599929824,46.995753899915144,47.9957979999017,47.9957979999017,47.9957979999017,48.06460559996776,t,0.05377330002374947,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
27,50,21,5,0,35,2,48.07902939990163,,48.065619099885225,48.07902939990163,49.07880129991099,49.07880129991099,49.07880129991099,49.18165629985742,t,0.0997797001618892,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
49,60,89,5,1,36,4,49.19530209992081,,49.182678299956024,49.19530209992081,50.19558189995587,50.19558189995587,50.19558189995587,50.665470300009474,l,0.4670784999616444,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
67,75,119,5,2,37,5,50.67863260000013,,50.66638179984875,50.67863260000013,51.67849179985933,51.67849179985933,51.67849179985933,51.94691379996948,t,0.2563908000010997,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
15,35,13,5,3,38,1,51.96187120000832,,51.94783329986967,51.96187120000832,52.96215589996427,52.96215589996427,52.96215589996427,53.36318779992871,t,0.39786599995568395,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
40,55,62,5,4,39,3,53.378527199849486,,53.36394939990714,53.378527199849486,54.378468999871984,54.378468999871984,54.378468999871984,54.77965549984947,l,0.3960042998660356,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
78,80,162,5,5,40,6,54.79475219990127,,54.78057929989882,54.79475219990127,55.794722699793056,55.794722699793056,55.794722699793056,56.02994319982827,t,0.22323060012422502,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
11,30,7,5,6,41,0,56.044543399941176,,56.031079299980775,56.044543399941176,57.04465839988552,57.04465839988552,57.04465839988552,57.82966329995543,t,0.768700499786064,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
67,75,119,6,0,42,5,57.844253399875015,,57.83086109999567,57.844253399875015,58.844297299860045,58.844297299860045,58.844297299860045,59.06267929985188,t,0.21131570008583367,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
11,30,7,6,1,43,0,59.0776082999073,,59.06368129979819,59.0776082999073,60.07773449993692,60.07773449993692,60.07773449993692,60.14582440000959,l,0.0614142999984324,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
78,80,162,6,2,44,6,60.16071939980611,,60.14676339994185,60.16071939980611,61.16036669979803,61.16036669979803,61.16036669979803,61.7456106999889,t,0.5813267999328673,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
27,50,21,6,3,45,2,61.760489099891856,,61.746616899967194,61.760489099891856,62.76075939997099,62.76075939997099,62.76075939997099,62.89542399998754,l,0.12210189993493259,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
49,60,89,6,4,46,4,62.91028209985234,,62.896576799917966,62.91028209985234,63.910376199986786,63.910376199986786,63.910376199986786,64.34574339981191,l,0.42489519994705915,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
15,35,13,6,5,47,1,64.36023249989375,,64.34680079994723,64.36023249989375,65.36023369990289,65.36023369990289,65.36023369990289,65.72910319990478,l,0.3661231000442058,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
40,55,62,6,6,48,3,65.7433444999624,,65.73003009986132,65.7433444999624,66.74317949987017,66.74317949987017,66.74317949987017,67.06187959993258,t,0.30099370004609227,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
27,50,21,7,0,49,2,67.07659599999897,,67.06300109997392,67.07659599999897,68.07668729987927,68.07668729987927,68.07668729987927,68.46116489986889,t,0.37039369996637106,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
78,80,162,7,1,50,6,68.47646929998882,,68.4620644999668,68.47646929998882,69.47655869997106,69.47655869997106,69.47655869997106,69.57871339982376,t,0.09537300001829863,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
67,75,119,7,2,51,5,69.59262429992668,,69.58007879997604,69.59262429992668,70.59287489997223,70.59287489997223,70.59287489997223,70.92734299995936,l,0.31781859998591244,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
11,30,7,7,3,52,0,70.9426051999908,,70.92805119999684,70.9426051999908,71.94261039979756,71.94261039979756,71.94261039979756,72.22794369980693,t,0.2807306000031531,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
15,35,13,7,4,53,1,72.24236369994469,,72.22901829984039,72.24236369994469,73.24229329987429,73.24229329987429,73.24229329987429,73.61061999993399,l,0.3590369999874383,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
40,55,62,7,5,54,3,73.62572199990973,,73.61158409994096,73.62572199990973,74.625869799871,74.625869799871,74.625869799871,75.04351029987447,l,0.4076306000351906,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
49,60,89,7,6,55,4,75.0588099998422,,75.04445619997568,75.0588099998422,76.05883799982257,76.05883799982257,76.05883799982257,76.32811869983561,t,0.26711979997344315,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
40,55,62,8,0,56,3,76.3419445999898,,76.32898360001855,76.3419445999898,77.3419116998557,77.3419116998557,77.3419116998557,77.64357149996795,t,0.29026399995200336,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
78,80,162,8,1,57,6,77.65839479980059,,77.6445412999019,77.65839479980059,78.65839209989645,78.65839209989645,78.65839209989645,79.1272417998407,l,0.4658283998724073,None,127943,001,2024-11-15_11h33.05.297,delay discounting experiment,2024.1.5,None,2024-11-15 11h33.09.570532 +0530,
