reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
15,35,13,0,0,0,1,0.03742979979142547,,0.006618799874559045,0.03742979979142547,1.0135443999897689,1.0135443999897689,1.0469908998347819,1.5368121999781579,l,0.5120061000343412,None,914199,001,2024-11-15_11h36.36.456,delay discounting experiment,2024.1.5,None,2024-11-15 11h36.40.496959 +0530,
49,60,89,0,1,1,4,1.5482355998829007,,1.5379694998264313,1.5482355998829007,2.5468097999691963,2.5468097999691963,2.5637782998383045,2.8152551997918636,t,0.26314710010774434,None,914199,001,2024-11-15_11h36.36.456,delay discounting experiment,2024.1.5,None,2024-11-15 11h36.40.496959 +0530,
40,55,62,0,2,2,3,2.8299387998413295,,2.816177199827507,2.8299387998413295,3.8298514999914914,3.8298514999914914,3.8298514999914914,4.198079099878669,l,0.35924909985624254,None,914199,001,2024-11-15_11h36.36.456,delay discounting experiment,2024.1.5,None,2024-11-15 11h36.40.496959 +0530,
67,75,119,0,3,3,5,4.213096699910238,,4.198982700007036,4.213096699910238,5.213456999976188,5.213456999976188,5.213456999976188,5.3650473998859525,t,0.1426703000906855,None,914199,001,2024-11-15_11h36.36.456,delay discounting experiment,2024.1.5,None,2024-11-15 11h36.40.496959 +0530,
27,50,21,0,4,4,2,5.379868699936196,,5.366008099867031,5.379868699936196,6.380116599844769,6.380116599844769,6.380116599844769,6.731340399943292,l,0.3346281999256462,None,914199,001,2024-11-15_11h36.36.456,delay discounting experiment,2024.1.5,None,2024-11-15 11h36.40.496959 +0530,
78,80,162,0,5,5,6,6.7460413000080734,,6.732445599976927,6.7460413000080734,7.746286599896848,7.746286599896848,7.746286599896848,7.8983115998562425,t,0.1485037999227643,None,914199,001,2024-11-15_11h36.36.456,delay discounting experiment,2024.1.5,None,2024-11-15 11h36.40.496959 +0530,
11,30,7,0,6,6,0,7.912727999966592,,7.899379899958149,7.912727999966592,8.912922199815512,8.912922199815512,8.912922199815512,9.083076299866661,l,0.1671740000601858,None,914199,001,2024-11-15_11h36.36.456,delay discounting experiment,2024.1.5,None,2024-11-15 11h36.40.496959 +0530,
15,35,13,1,0,7,1,9.095619399799034,,9.084017799934372,9.095619399799034,10.09587089996785,10.09587089996785,10.09587089996785,10.33058759989217,t,0.22962619992904365,None,914199,001,2024-11-15_11h36.36.456,delay discounting experiment,2024.1.5,None,2024-11-15 11h36.40.496959 +0530,
49,60,89,1,1,8,4,10.345664999913424,,10.331479199929163,10.345664999913424,11.34557279990986,11.34557279990986,11.34557279990986,11.580975099932402,l,0.226289700018242,None,914199,001,2024-11-15_11h36.36.456,delay discounting experiment,2024.1.5,None,2024-11-15 11h36.40.496959 +0530,
40,55,62,1,2,9,3,11.59551369980909,,11.582104199798778,11.59551369980909,12.595541399903595,12.595541399903595,12.595541399903595,12.747089699842036,l,0.13677059998735785,None,914199,001,2024-11-15_11h36.36.456,delay discounting experiment,2024.1.5,None,2024-11-15 11h36.40.496959 +0530,
11,30,7,1,3,10,0,12.762054899940267,,12.748007799964398,12.762054899940267,13.762116199824959,13.762116199824959,13.762116199824959,14.330189100001007,t,0.5627657000441104,None,914199,001,2024-11-15_11h36.36.456,delay discounting experiment,2024.1.5,None,2024-11-15 11h36.40.496959 +0530,
78,80,162,1,4,11,6,14.34530879999511,,14.331140799913555,14.34530879999511,15.34518579998985,15.34518579998985,15.34518579998985,15.613685199990869,l,0.25627909996546805,None,914199,001,2024-11-15_11h36.36.456,delay discounting experiment,2024.1.5,None,2024-11-15 11h36.40.496959 +0530,
27,50,21,1,5,12,2,15.628000299911946,,15.614737899973989,15.628000299911946,16.628576799994335,16.628576799994335,16.628576799994335,16.830191099783406,t,0.18466899986378849,None,914199,001,2024-11-15_11h36.36.456,delay discounting experiment,2024.1.5,None,2024-11-15 11h36.40.496959 +0530,
67,75,119,1,6,13,5,16.844715899787843,,16.83136839978397,16.844715899787843,17.8448254999239,17.8448254999239,17.8448254999239,17.91317359986715,l,0.05875739990733564,None,914199,001,2024-11-15_11h36.36.456,delay discounting experiment,2024.1.5,None,2024-11-15 11h36.40.496959 +0530,
40,55,62,2,0,14,3,17.928101999918,,17.914199499879032,17.928101999918,18.928110599983484,18.928110599983484,18.928110599983484,18.96318919979967,t,0.026037000119686127,None,914199,001,2024-11-15_11h36.36.456,delay discounting experiment,2024.1.5,None,2024-11-15 11h36.40.496959 +0530,
11,30,7,2,1,15,0,18.9777688998729,,18.96421239990741,18.9777688998729,19.977971299784258,19.977971299784258,19.977971299784258,21.462708299979568,l,1.469493799842894,None,914199,001,2024-11-15_11h36.36.456,delay discounting experiment,2024.1.5,None,2024-11-15 11h36.40.496959 +0530,
15,35,13,2,2,16,1,21.479324499843642,,21.463641199981794,21.479324499843642,22.47751529980451,22.47751529980451,22.49424839997664,22.49625749979168,t,0.003747300012037158,None,914199,001,2024-11-15_11h36.36.456,delay discounting experiment,2024.1.5,None,2024-11-15 11h36.40.496959 +0530,
67,75,119,2,3,17,5,22.510750299785286,,22.497707800008357,22.510750299785286,23.51077859988436,23.51077859988436,23.51077859988436,23.812653000000864,t,0.2879790000151843,None,914199,001,2024-11-15_11h36.36.456,delay discounting experiment,2024.1.5,None,2024-11-15 11h36.40.496959 +0530,
78,80,162,2,4,18,6,23.82723269984126,,23.81365739996545,23.82723269984126,24.8273531999439,24.8273531999439,24.8273531999439,25.11274249991402,t,0.27887540007941425,None,914199,001,2024-11-15_11h36.36.456,delay discounting experiment,2024.1.5,None,2024-11-15 11h36.40.496959 +0530,
27,50,21,2,5,19,2,25.127057199832052,,25.11375799984671,25.127057199832052,26.127141299890354,26.127141299890354,26.127141299890354,26.362428299849853,l,0.22212309995666146,None,914199,001,2024-11-15_11h36.36.456,delay discounting experiment,2024.1.5,None,2024-11-15 11h36.40.496959 +0530,
49,60,89,2,6,20,4,26.37699279980734,,26.363602799829096,26.37699279980734,27.377048399997875,27.377048399997875,27.377048399997875,27.56323659978807,t,0.18365499982610345,None,914199,001,2024-11-15_11h36.36.456,delay discounting experiment,2024.1.5,None,2024-11-15 11h36.40.496959 +0530,
67,75,119,3,0,21,5,27.576699799858034,,27.564104799879715,27.576699799858034,28.576894599944353,28.576894599944353,28.576894599944353,28.912161499960348,l,0.3218090001028031,None,914199,001,2024-11-15_11h36.36.456,delay discounting experiment,2024.1.5,None,2024-11-15 11h36.40.496959 +0530,
15,35,13,3,1,22,1,28.926473299972713,,28.913223799783736,28.926473299972713,29.926699799951166,29.926699799951166,29.926699799951166,30.244627499952912,t,0.31246879999525845,None,914199,001,2024-11-15_11h36.36.456,delay discounting experiment,2024.1.5,None,2024-11-15 11h36.40.496959 +0530,
78,80,162,3,2,23,6,30.25965779996477,,30.245616199914366,30.25965779996477,31.25989759992808,31.25989759992808,31.25989759992808,31.39456049981527,l,0.1195357998367399,None,914199,001,2024-11-15_11h36.36.456,delay discounting experiment,2024.1.5,None,2024-11-15 11h36.40.496959 +0530,
40,55,62,3,3,24,3,31.409577999962494,,31.39558079978451,31.409577999962494,32.40963889984414,32.40963889984414,32.40963889984414,32.66121659986675,t,0.2402992001734674,None,914199,001,2024-11-15_11h36.36.456,delay discounting experiment,2024.1.5,None,2024-11-15 11h36.40.496959 +0530,
27,50,21,3,4,25,2,32.67605369980447,,32.66239019995555,32.67605369980447,33.67613219982013,33.67613219982013,33.67613219982013,33.863005499821156,l,0.18404529988765717,None,914199,001,2024-11-15_11h36.36.456,delay discounting experiment,2024.1.5,None,2024-11-15 11h36.40.496959 +0530,
11,30,7,3,5,26,0,33.87586869997904,,33.86401669983752,33.87586869997904,34.876119499793276,34.876119499793276,34.876119499793276,34.89461939991452,t,0.004275300074368715,None,914199,001,2024-11-15_11h36.36.456,delay discounting experiment,2024.1.5,None,2024-11-15 11h36.40.496959 +0530,
49,60,89,3,6,27,4,34.90919979987666,,34.89567549992353,34.90919979987666,35.90927729988471,35.90927729988471,35.90927729988471,36.17826019995846,l,0.2661216000560671,None,914199,001,2024-11-15_11h36.36.456,delay discounting experiment,2024.1.5,None,2024-11-15 11h36.40.496959 +0530,
78,80,162,4,0,28,6,36.19216079986654,,36.179165799869224,36.19216079986654,37.19231219985522,37.19231219985522,37.19231219985522,37.27728879987262,t,0.08112949994392693,None,914199,001,2024-11-15_11h36.36.456,delay discounting experiment,2024.1.5,None,2024-11-15 11h36.40.496959 +0530,
27,50,21,4,1,29,2,37.2920460999012,,37.27817579987459,37.2920460999012,38.29207229986787,38.29207229986787,38.29207229986787,38.593639199854806,l,0.2850929000414908,None,914199,001,2024-11-15_11h36.36.456,delay discounting experiment,2024.1.5,None,2024-11-15 11h36.40.496959 +0530,
49,60,89,4,2,30,4,38.60862309997901,,38.594726599985734,38.60862309997901,39.608639099868014,39.608639099868014,39.608639099868014,39.82714819977991,t,0.20324279996566474,None,914199,001,2024-11-15_11h36.36.456,delay discounting experiment,2024.1.5,None,2024-11-15 11h36.40.496959 +0530,
11,30,7,4,3,31,0,39.84163949987851,,39.82823569979519,39.84163949987851,40.84181649982929,40.84181649982929,40.84181649982929,41.093663699924946,l,0.235540600027889,None,914199,001,2024-11-15_11h36.36.456,delay discounting experiment,2024.1.5,None,2024-11-15 11h36.40.496959 +0530,
40,55,62,4,4,32,3,41.108370299916714,,41.094762599794194,41.108370299916714,42.10829329979606,42.10829329979606,42.10829329979606,42.8431535998825,t,0.7266481001861393,None,914199,001,2024-11-15_11h36.36.456,delay discounting experiment,2024.1.5,None,2024-11-15 11h36.40.496959 +0530,
67,75,119,4,5,33,5,42.85820909985341,,42.844698699889705,42.85820909985341,43.85829389980063,43.85829389980063,43.85829389980063,44.327415799954906,t,0.45440839999355376,None,914199,001,2024-11-15_11h36.36.456,delay discounting experiment,2024.1.5,None,2024-11-15 11h36.40.496959 +0530,
15,35,13,4,6,34,1,44.341118399985135,,44.32853339985013,44.341118399985135,45.34106889995746,45.34106889995746,45.34106889995746,45.91201929980889,t,0.5676528001204133,None,914199,001,2024-11-15_11h36.36.456,delay discounting experiment,2024.1.5,None,2024-11-15 11h36.40.496959 +0530,
11,30,7,5,0,35,0,45.924360199831426,,45.913124199956656,45.924360199831426,46.92438269988634,46.92438269988634,46.92438269988634,48.65794159984216,l,1.724091999931261,None,914199,001,2024-11-15_11h36.36.456,delay discounting experiment,2024.1.5,None,2024-11-15 11h36.40.496959 +0530,
49,60,89,5,1,36,4,48.67422109981999,,48.65852249995805,48.67422109981999,49.674119599862024,49.674119599862024,49.674119599862024,49.84209469985217,l,0.15385000011883676,None,914199,001,2024-11-15_11h36.36.456,delay discounting experiment,2024.1.5,None,2024-11-15 11h36.40.496959 +0530,
40,55,62,5,2,37,3,49.85724319983274,,49.84290159982629,49.85724319983274,50.85682939994149,50.85682939994149,50.85682939994149,51.22569859982468,l,0.35309649980627,None,914199,001,2024-11-15_11h36.36.456,delay discounting experiment,2024.1.5,None,2024-11-15 11h36.40.496959 +0530,
27,50,21,5,3,38,2,51.2401222998742,,51.22681629983708,51.2401222998742,52.240267199929804,52.240267199929804,52.240267199929804,52.40886519988999,t,0.16089160018600523,None,914199,001,2024-11-15_11h36.36.456,delay discounting experiment,2024.1.5,None,2024-11-15 11h36.40.496959 +0530,
78,80,162,5,4,39,6,52.423565899953246,,52.409858899889514,52.423565899953246,53.423469699919224,53.423469699919224,53.423469699919224,53.84214729978703,l,0.4029079000465572,None,914199,001,2024-11-15_11h36.36.456,delay discounting experiment,2024.1.5,None,2024-11-15 11h36.40.496959 +0530,
15,35,13,5,5,40,1,53.856643999926746,,53.84310029982589,53.856643999926746,54.85663819988258,54.85663819988258,54.85663819988258,55.108321300009266,t,0.24636489991098642,None,914199,001,2024-11-15_11h36.36.456,delay discounting experiment,2024.1.5,None,2024-11-15 11h36.40.496959 +0530,
67,75,119,5,6,41,5,55.12313899979927,,55.10928369988687,55.12313899979927,56.12322089984082,56.12322089984082,56.12322089984082,56.508827599929646,l,0.3829159999731928,None,914199,001,2024-11-15_11h36.36.456,delay discounting experiment,2024.1.5,None,2024-11-15 11h36.40.496959 +0530,
27,50,21,6,0,42,2,56.523047499824315,,56.50966260000132,56.523047499824315,57.52303379983641,57.52303379983641,57.52303379983641,57.72534649982117,t,0.19903360004536808,None,914199,001,2024-11-15_11h36.36.456,delay discounting experiment,2024.1.5,None,2024-11-15 11h36.40.496959 +0530,
